id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
166,St. Vincent de Paul — Indianapolis,basic-needs,Indianapolis / Marion County,"St. Vincent de Paul — Indianapolis is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Catholic charity providing clothing, furniture, utility assistance, and basic needs support for low-income Marion County residents including returning citizens establishing households after incarceration. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","St. Vincent de Paul — Indianapolis es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",1201 East Maryland Street,Indianapolis,(317) 687-0169,,https://www.svdpcindy.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|basic-needs|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
167,Dayspring Center — Basic Needs,basic-needs,Indianapolis / Marion County,"Family shelter providing meals, clothing, hygiene supplies, and children's essentials for homeless families in Marion County including parents reuniting with children after incarceration. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Refugio familiar con comidas, ropa, artículos de higiene y esenciales para niños de familias sin hogar en Marion incluidos padres que se reúnen con hijos después de prisión. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1537 Central Avenue,Indianapolis,(317) 635-6789,,https://www.dayspringcenter.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|basic-needs|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
168,Dress for Success — Indianapolis,basic-needs,Indianapolis / Marion County,"Nonprofit providing professional clothing, career coaching, and interview preparation for women including justice-involved women seeking employment in Marion County. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Organización sin fines de lucro con ropa profesional, coaching de carrera y preparación para entrevistas para mujeres incluidas mujeres con antecedentes penales que buscan empleo en Marion. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",820 East 67th Street,Indianapolis,(317) 940-0754,,https://indianapolis.dressforsuccess.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|basic-needs|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
169,Trusted Mentors,basic-needs,Indianapolis / Marion County,"Indianapolis mentoring organization providing clothing, household essentials, and mentor support for adults including formerly incarcerated individuals stabilizing in the community. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Organización de mentoría en Indianápolis con ropa, artículos esenciales del hogar y apoyo de mentores para adultos incluidas personas anteriormente encarceladas estabilizándose en la comunidad. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",546 East 17th Street,Indianapolis,(317) 931-8882,,https://www.trustedmentors.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|basic-needs|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
170,Holy Family Shelter,basic-needs,Indianapolis / Marion County,"Emergency shelter providing meals, clothing, and basic needs for homeless families in Marion County including families affected by parental incarceration seeking stabilization. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Refugio de emergencia con comidas, ropa y necesidades básicas para familias sin hogar en Marion incluidas familias afectadas por la encarcelación de padres. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",907 East Temple Avenue,Indianapolis,(317) 635-7830,,https://www.holyfamilyshelter.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|basic-needs|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
171,St. Vincent de Paul — Evansville,basic-needs,Evansville / Vanderburgh County,"Evansville St. Vincent de Paul conference providing food, clothing, furniture, and utility assistance for low-income Vanderburgh County residents including returning citizens. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Conferencia de San Vicente de Paúl en Evansville con alimentos, ropa, muebles y asistencia de servicios públicos para residentes de bajos ingresos de Vanderburgh incluidos ciudadanos que regresan. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",809 North First Avenue,Evansville,(812) 421-0055,,https://www.svdpevansville.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,evansville|vanderburgh|basic-needs|reentry,Case management|Referrals|Community support,Vanderburgh,Vanderburgh,single,accepts_criminal_record
172,Matthew 25 — Fort Wayne,basic-needs,Fort Wayne / Allen County,"Fort Wayne nonprofit providing food pantry, clothing closet, and household goods for low-income Allen County residents including justice-involved individuals rebuilding after release. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Organización sin fines de lucro de Fort Wayne con despensa de alimentos, ropero y artículos del hogar para residentes de bajos ingresos de Allen incluidas personas con antecedentes penales. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",413 East Paulding Road,Fort Wayne,(260) 424-7977,,https://www.matthew25online.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,fort wayne|allen|basic-needs|reentry,Case management|Referrals|Community support,Allen,Allen,single,accepts_criminal_record
173,Catholic Charities — South Bend Basic Needs,basic-needs,South Bend / St. Joseph County,"Catholic Charities South Bend providing emergency food, clothing, and utility assistance for low-income St. Joseph County residents including returning citizens establishing households. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Caridades Católicas South Bend con alimentos de emergencia, ropa y asistencia de servicios públicos para residentes de bajos ingresos de St. Joseph incluidos ciudadanos que regresan. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1817 Miami Street,South Bend,(574) 234-3111,,https://www.ccfwsb.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,south bend|st. joseph|basic-needs|reentry,Case management|Referrals|Community support,St. Joseph,St. Joseph,single,accepts_criminal_record
174,Goodwill — Retail & Clothing,basic-needs,Indianapolis / Marion County,"Goodwill — Retail & Clothing is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Goodwill retail stores provide low-cost clothing and household goods for Marion County residents including returning citizens; stores also offer job training placements for program participants. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Goodwill — Retail & Clothing es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",1635 West Michigan Street,Indianapolis,(317) 524-4313,,https://www.goodwillindy.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|basic-needs|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
175,Back on My Feet — Indianapolis,basic-needs,Indianapolis / Marion County,"Back on My Feet — Indianapolis is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. National nonprofit chapter using running-based community building to connect individuals experiencing homelessness and employment barriers including ex-offenders to housing, employment, and support services. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Back on My Feet — Indianapolis es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",1635 West Michigan Street,Indianapolis,(317) 524-4313,,https://www.backonmyfeet.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|basic-needs|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
176,Fairbanks — Indianapolis Treatment,substance-use-treatment,Indianapolis / Marion County,"Fairbanks — Indianapolis Treatment is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Indianapolis addiction treatment provider offering detox, residential, outpatient, and medication-assisted treatment for justice-involved clients including Recovery Works participating provider in Marion County. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Fairbanks — Indianapolis Treatment es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",8102 Clearvista Parkway,Indianapolis,(317) 849-6572,,https://www.fairbankscd.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|substance-use-treatment|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
177,Wabash Recovery Services — Lafayette,substance-use-treatment,Lafayette / Tippecanoe County,"Wabash Recovery Services — Lafayette is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Lafayette addiction treatment center providing outpatient and residential substance use treatment for justice-involved clients in Tippecanoe County through DMHA-certified programs and Recovery Works partnerships. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Tippecanoe County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Wabash Recovery Services — Lafayette es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Tippecanoe. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",1000 North 18th Street,Lafayette,(765) 423-6900,,https://www.wabashrecovery.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,lafayette|tippecanoe|substance-use-treatment|reentry|indiana,Case management|Referrals|Community support,Tippecanoe,Tippecanoe,single,
178,Centerstone — Addiction Services,substance-use-treatment,Bloomington / Monroe County,"Centerstone — Addiction Services is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Centerstone provides outpatient and intensive outpatient addiction treatment, MAT, and recovery support for justice-involved clients in Monroe County as a DMHA-certified Recovery Works provider. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Monroe County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Centerstone — Addiction Services es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Monroe. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",645 South Rogers Street,Bloomington,(812) 331-8000,,https://www.centerstone.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,bloomington|monroe|substance-use-treatment|reentry|indiana,Case management|Referrals|Community support,Monroe,Monroe,single,
179,Hamilton Center — Addiction Services,substance-use-treatment,Terre Haute / Vigo County,"Hamilton Center — Addiction Services is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Wabash Valley community mental health center providing outpatient addiction treatment, MAT, and case management for justice-involved clients in Vigo County through DMHA-certified forensic treatment programs. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Vigo County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Hamilton Center — Addiction Services es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Vigo. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",620 Eighth Avenue,Terre Haute,(812) 234-7700,,https://www.hamiltoncenter.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,terre haute|vigo|substance-use-treatment|reentry|indiana,Case management|Referrals|Community support,Vigo,Vigo,single,
180,Eskenazi — Addiction Services,substance-use-treatment,Indianapolis / Marion County,"Eskenazi — Addiction Services is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Eskenazi addiction treatment services providing outpatient counseling, MAT, and recovery support for Marion County residents including justice-involved patients establishing substance use treatment after release. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Eskenazi — Addiction Services es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",720 Eskenazi Avenue,Indianapolis,(317) 880-8491,,https://eskenazihealth.edu,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|substance-use-treatment|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
181,Talitha Koum — Women in Recovery,substance-use-treatment,Indianapolis / Marion County,"Talitha Koum — Women in Recovery is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Indianapolis faith-based recovery program for women providing residential treatment, life skills, and community reintegration for justice-involved women in substance use recovery in Marion County. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Talitha Koum — Women in Recovery es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",2855 North Keystone Avenue,Indianapolis,(317) 541-0893,,https://www.talithakoum.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|substance-use-treatment|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
182,Catholic Charities — Emergency Assistance Indianapolis,financial-assistance,Indianapolis / Marion County,"Catholic Charities — Emergency Assistance Indianapolis is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Archdiocese emergency assistance providing utility help, rent assistance, and financial coaching for low-income Marion County families including returning citizens facing financial crisis after release. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Catholic Charities — Emergency Assistance Indianapolis es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",1400 South Shelby Street,Indianapolis,(317) 236-1500,,https://www.archindy.org/cc,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|financial-assistance|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
183,Community Action of Greater Indianapolis,financial-assistance,Indianapolis / Marion County,"Community Action of Greater Indianapolis is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Community action agency providing energy assistance, emergency financial aid, and self-sufficiency programs for low-income Marion County residents including justice-involved individuals seeking utility and rent support. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Community Action of Greater Indianapolis es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",3266 North Meridian Street,Indianapolis,(317) 396-1501,,https://www.cagi-in.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|financial-assistance|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
184,CAPstone — Lafayette,financial-assistance,Lafayette / Tippecanoe County,"Lafayette community action agency providing LIHEAP energy assistance, emergency financial aid, and case management for low-income Tippecanoe County residents including returning citizens. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Agencia de acción comunitaria de Lafayette con asistencia energética LIHEAP, ayuda financiera de emergencia y manejo de casos para residentes de bajos ingresos de Tippecanoe incluidos ciudadanos que regresan. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1001 South 18th Street,Lafayette,(765) 742-2349,,https://www.capstone-caa.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,lafayette|tippecanoe|financial-assistance|reentry,Case management|Referrals|Community support,Tippecanoe,Tippecanoe,single,accepts_criminal_record
185,United Way of Central Indiana,financial-assistance,Indianapolis / Marion County,"United Way of Central Indiana is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. United Way central Indiana connecting residents to emergency financial assistance, utility help, and benefits navigation through 211 and direct agency referrals including for returning citizens. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","United Way of Central Indiana es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",2955 North Meridian Street,Indianapolis,(317) 923-1466,,https://www.uwci.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|financial-assistance|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
186,IHCDA — Emergency Solutions Grants,financial-assistance,Indianapolis / Marion County,"IHCDA — Emergency Solutions Grants is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. State housing agency administering emergency solutions grants and homelessness prevention funding to local providers serving justice-involved individuals experiencing housing crisis across Indiana. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in throughout Indiana. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","IHCDA — Emergency Solutions Grants es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Indiana. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",30 South Meridian Street,Indianapolis,(317) 232-7777,,https://www.in.gov/ihcda/,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|financial-assistance|reentry|indiana,Case management|Referrals|Community support,Marion,,statewide,
187,Salvation Army — Emergency Financial Assistance,financial-assistance,Indianapolis / Marion County,"Salvation Army — Emergency Financial Assistance is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Salvation Army Indianapolis providing emergency rent, utility, and transportation assistance for Marion County residents in financial crisis including returning citizens stabilizing after incarceration. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Marion County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Salvation Army — Emergency Financial Assistance es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Marion. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",3100 North Meridian Street,Indianapolis,(317) 637-5551,,https://centralusa.salvationarmy.org/indianapolis,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,indianapolis|marion|financial-assistance|reentry|indiana,Case management|Referrals|Community support,Marion,Marion,single,
